nohup: ignoring input
[ 1] local::disk.dev.write["sdb"]
[ 2] local::disk.dev.write_bytes["sdb"]
[ 3] local::disk.dev.read["sdb"]
[ 4] local::disk.dev.read_bytes["sdb"]
[ 5] local::filesys.used["/dev/sdb"]
[ 6] local::filesys.usedfiles["/dev/sdb"]

             Column,     1,     2,     3,     4,     5,     6
             Source,local:,local:,local:,local:,local:,local:
             Metric, write,_bytes,  read,_bytes,  used,dfiles
               Inst,   sdb,   sdb,   sdb,   sdb,/dev/s,/dev/s
              Units,   c/s,   b/s,   c/s,   b/s,     b,  none
2020-07-17 10:48:40,     ?,     ?,     ?,     ?, 0.74G,35.66K
2020-07-17 10:48:41, 4.00 ,49.15K, 0.00 , 0.00 , 0.74G,35.66K
2020-07-17 10:48:42, 2.00 ,24.54K, 0.00 , 0.00 , 0.74G,35.66K
2020-07-17 10:52:26,88.960000,754974.720000,0.000000,0.0,794568949.76,37160.96,4
2020-07-17 10:52:27,0.000000,0.000000,0.000000,0.0,794568949.76,37160.96,0
2020-07-17 10:52:28,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:29,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:30,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:31,11.000000,146800.640000,0.000000,0.0,794568949.76,37171.2,4
2020-07-17 10:52:32,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:33,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:34,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:35,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:36,15.970000,100505.600000,0.000000,0.0,794568949.76,37171.2,4
2020-07-17 10:52:37,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:38,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:39,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:40,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:41,5.010000,20992.000000,0.000000,0.0,794568949.76,37171.2,4
2020-07-17 10:52:42,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:43,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:44,2.000000,41932.800000,0.000000,0.0,794568949.76,37171.2,2
2020-07-17 10:52:45,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:46,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:47,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:48,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:49,7.990000,33525.760000,0.000000,0.0,794568949.76,37171.2,4
2020-07-17 10:52:50,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:51,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:52,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:53,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:54,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
2020-07-17 10:52:55,0.000000,0.000000,0.000000,0.0,794568949.76,37171.2,0
